Date,Open,High,Low,Close,Volume
2018-08-01,67167,72306,66887,70812,528159
2018-08-02,71278,71278,67821,69037,204663
2018-08-03,69503,70063,68288,68943,76194
2018-08-06,68942,69503,66794,67448,107353
2018-08-07,67541,69316,64084,68569,162689
2018-08-08,68755,71932,68475,69223,115551
2018-08-09,68288,68569,66794,68476,108645
2018-08-10,68475,69689,66980,68290,118876
2018-08-13,67821,67821,64458,64926,149966
2018-08-14,64271,66140,64271,64926,110796
2018-08-16,64365,65859,63337,65486,162654
2018-08-17,65486,68195,65393,67262,152343
2018-08-20,68102,68849,66887,67168,60567
2018-08-21,67634,69970,64365,68943,169294
2018-08-22,69316,70624,68755,68943,82990
2018-08-23,69409,70156,68475,69784,72386
2018-08-24,70063,72865,69223,71839,176210
2018-08-27,72772,73239,71932,71932,137640
2018-08-28,71932,72960,70531,70812,99151
2018-08-29,70810,72211,70810,71092,81705
2018-08-30,71091,72306,70437,70812,67568
2018-08-31,70997,76322,70904,74828,322760
2018-09-03,74828,75294,73800,74549,101003
2018-09-04,74547,78377,74547,77444,260021
2018-09-05,77817,78377,75482,76417,122678
2018-09-06,76416,77163,73987,75109,154601
2018-09-07,75108,76136,74361,74922,78828
2018-09-10,75668,75855,74361,75015,93098
2018-09-11,74267,76043,74174,74549,76749
2018-09-12,75201,77444,74828,76323,188105
2018-09-13,76696,77817,75948,77444,195501
2018-09-14,77537,77910,75855,76604,118667
2018-09-17,77350,78658,76696,77071,153954
2018-09-18,76043,77350,75762,77071,88584
2018-09-19,76136,76883,75108,76323,154521
2018-09-20,75668,78004,74267,74735,222177
2018-09-21,75294,75948,74454,75950,99153
2018-09-27,75575,76416,75015,75389,105831
2018-09-28,75575,75762,73800,74735,93446
2018-10-01,74267,74734,72865,73053,70475
2018-10-02,73053,73613,70343,70345,104974
2018-10-04,70343,72211,69316,70719,69425
2018-10-05,69596,71932,69223,69597,83130
2018-10-08,69035,70904,68755,69223,59572
2018-10-10,69223,70063,67354,67448,95607
2018-10-11,67448,67634,64365,64365,198736
2018-10-12,62870,68008,62870,68009,142215
2018-10-15,68195,68475,64925,65393,114713
2018-10-16,65393,67448,65393,66047,75911
2018-10-17,67261,67541,65486,66047,88151
2018-10-18,66326,66326,64365,64365,63685
2018-10-19,63524,65579,61936,65300,126711
2018-10-22,65859,65859,63897,65300,66652
2018-10-23,63150,64551,60814,61750,167926
2018-10-24,61842,62964,57919,58200,218658
2018-10-25,53061,59413,51379,58387,505004
2018-10-26,58946,59320,54649,55117,249788
2018-10-29,54929,56798,50819,51007,270484
2018-10-30,50445,52594,48203,52035,471821
2018-10-31,52500,52968,49324,49980,253633
2018-11-01,50258,54182,49978,51193,349876
2018-11-02,52407,53715,51660,53622,204885
2018-11-05,53622,54276,52781,53715,189525
2018-11-06,54462,54462,52314,53249,119180
2018-11-07,53528,53995,51940,52221,167012
2018-11-08,53341,53528,51847,51941,132097
2018-11-09,52314,52314,49324,50353,167930
2018-11-12,48484,48484,45213,45215,331232
2018-11-13,44093,47269,44093,46802,438177
2018-11-14,46802,49324,46101,47830,232014
2018-11-15,48857,49978,48016,49138,207271
2018-11-16,49511,61749,49511,59975,2042074
2018-11-19,60254,71932,58106,65019,2404342
2018-11-20,65486,68849,64084,64085,1032072
2018-11-21,62964,64551,60161,63057,852975
2018-11-22,63991,64178,60814,60816,347044
2018-11-23,60348,64739,60348,60442,724797
2018-11-26,60814,63711,60441,62404,446951
2018-11-27,64271,64551,61189,61283,446855
2018-11-28,62029,62776,60721,61096,265303
2018-11-29,63897,66140,60254,60442,612502
2018-11-30,61095,62217,60814,61843,221271
2018-12-03,63057,63243,61656,62124,240335
2018-12-04,61842,63243,61095,61563,235775
2018-12-05,60441,61095,59881,60349,182080
2018-12-06,60441,60721,57171,57172,194717
2018-12-07,57358,60441,57358,59227,236482
2018-12-10,58385,60628,57732,58948,211111
2018-12-11,57638,57732,54182,54276,528219
2018-12-12,54929,56611,54836,55958,197354
2018-12-13,56051,56051,54276,54837,214170
2018-12-14,54276,54929,52968,53622,181429
2018-12-17,55863,56330,52968,55584,314818
2018-12-18,55397,60254,54555,57733,429755
2018-12-19,58480,65205,58106,63432,919375
2018-12-20,62590,66513,62590,63899,765940
2018-12-21,64645,65766,63430,64085,296758
2018-12-24,63057,64084,61095,61189,469543
2018-12-26,59507,62776,59413,62778,851657
2018-12-27,65298,65298,58292,59134,751074
2018-12-28,59694,60721,58106,59321,211260
2019-01-02,60067,60348,56891,56893,207700
2019-01-03,55490,57732,55490,55678,181873
2019-01-04,55677,57919,55116,57920,289363
2019-01-07,60721,60721,57171,58013,269454
2019-01-08,58385,58385,56237,56798,148364
