종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3520","30","0.86","162875725760"
"054620","APS홀딩스","KOSDAQ","금융","19350","150","0.78","394628176350"
"265520","AP시스템","KOSDAQ","반도체","28800","100","0.35","417030537600"
"211270","AP위성","KOSDAQ","통신장비","16100","350","2.22","242825094400"
"013720","CBI","KOSDAQ","운송장비·부품","3455","-25","-0.72","175160812625"
"035760","CJ ENM","KOSDAQ","방송서비스","153500","500","0.33","3366125139000"
"051500","CJ프레시웨이","KOSDAQ","유통","37250","1300","3.62","442216578500"
"058820","CMG제약","KOSDAQ","제약","4520","-5","-0.11","627792942880"
"023460","CNH","KOSDAQ","금융","3640","-145","-3.83","135408000000"
"056730","CNT85","KOSDAQ","유통","1550","0","0.00","109591063600"
"056000","COWON","KOSDAQ","디지털컨텐츠","2860","0","0.00","56399843500"
"065770","CS","KOSDAQ","통신장비","5420","-30","-0.55","105208324600"
"083660","CSA 코스믹","KOSDAQ","화학","1560","-30","-1.89","59177217840"
"367340","DB금융스팩8호","KOSDAQ","금융","2190","-10","-0.45","13249500000"
"367360","DB금융스팩9호","KOSDAQ","금융","2185","5","0.23","10575400000"
"068790","DMS","KOSDAQ","기계·장비","7880","40","0.51","193635720680"
"241520","DSC인베스트먼트","KOSDAQ","금융","5410","100","1.88","150459690230"
"245620","EDGC","KOSDAQ","기타서비스","4130","90","2.23","345632687260"
"037370","EG","KOSDAQ","건설","12350","-150","-1.20","94570075600"
"079190","EMW","KOSDAQ","통신장비","2780","0","0.00","88360067660"
"050120","ES큐브","KOSDAQ","유통","5030","-20","-0.40","68227352580"
"130500","GH신소재","KOSDAQ","섬유·의류","7120","-180","-2.47","78320000000"
"900290","GRT","KOSDAQ","금융","951","0","0.00","64073625000"
"083450","GST","KOSDAQ","반도체","29050","-550","-1.86","270680492250"
"045890","GV","KOSDAQ","일반전기전자","240","0","0.00","20823884880"
"227100","H&B디자인","KOSDAQ","일반전기전자","16800","300","1.82","78975472800"
"297890","HB솔루션","KOSDAQ","기계·장비","23050","-200","-0.86","379427917050"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2900","-20","-0.68","229072235400"
"195940","HK이노엔","KOSDAQ","제약","65200","4200","6.89","1884573334800"
"036640","HRS","KOSDAQ","화학","5840","200","3.55","95512032000"
"335870","IBKS제12호스팩","KOSDAQ","금융","3035","115","3.94","9469200000"
"351340","IBKS제13호스팩","KOSDAQ","금융","2465","-15","-0.60","12744050000"
"351320","IBKS제14호스팩","KOSDAQ","금융","3520","-90","-2.49","15241600000"
"373200","IBKS제15호스팩","KOSDAQ","금융","2350","0","0.00","8272000000"
"095340","ISC","KOSDAQ","반도체","26550","850","3.31","439256899800"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","4580","-30","-0.65","160325267860"
"067290","JW신약","KOSDAQ","제약","4695","100","2.18","206283548310"
"035900","JYP Ent.","KOSDAQ","오락·문화","41300","-1050","-2.48","1466046419600"
"024840","KBI메탈","KOSDAQ","금속","2405","60","2.56","79246789440"
"024120","KB오토시스","KOSDAQ","운송장비·부품","7500","0","0.00","86250000000"
"021320","KCC건설","KOSDAQ","건설","11400","-250","-2.15","243960000000"
"036670","KCI","KOSDAQ","화학","9410","140","1.51","106050700000"
"044180","KD","KOSDAQ","건설","2110","-100","-4.52","34868509600"
"151860","KG ETS","KOSDAQ","기타서비스","17800","-250","-1.39","640800000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","10150","-100","-0.98","394079515200"
"035600","KG이니시스","KOSDAQ","소프트웨어","19250","200","1.05","537160354500"
"226360","KH E&T","KOSDAQ","건설","2000","10","0.50","112578142000"
