종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5990","10","0.17","280465547050"
"006840","AK홀딩스","KOSPI","기타금융","27500","0","0.00","364307927500"
"027410","BGF","KOSPI","기타금융","6380","-10","-0.16","610673126580"
"282330","BGF리테일","KOSPI","유통업","183000","2500","1.39","3162954798000"
"138930","BNK금융지주","KOSPI","기타금융","7880","0","0.00","2568369738480"
"001460","BYC","KOSPI","섬유의복","422500","12500","3.05","263899837500"
"001465","BYC우","KOSPI","섬유의복","171000","-3000","-1.72","36830835000"
"001040","CJ","KOSPI","기타금융","102500","1000","0.99","2990642295000"
"079160","CJ CGV","KOSPI","서비스업","31350","200","0.64","1162593996300"
"00104K","CJ4우(전환)","KOSPI","기타금융","85000","300","0.35","359253520000"
"000120","CJ대한통운","KOSPI","운수창고업","170000","1000","0.59","3878098480000"
"011150","CJ씨푸드","KOSPI","음식료품","4260","-10","-0.23","153065092980"
"011155","CJ씨푸드1우","KOSPI","음식료품","39150","0","0.00","7830000000"
"001045","CJ우","KOSPI","기타금융","62900","200","0.32","142168026700"
"097950","CJ제일제당","KOSPI","음식료품","443500","-3000","-0.67","6676531491000"
"097955","CJ제일제당 우","KOSPI","음식료품","202000","-2000","-0.98","268141466000"
"000590","CS홀딩스","KOSPI","기타금융","64600","100","0.16","74579537200"
"012030","DB","KOSPI","서비스업","1100","40","3.77","221291326300"
"016610","DB금융투자","KOSPI","증권","6840","40","0.59","290333300760"
"005830","DB손해보험","KOSPI","보험","59500","700","1.19","4212600000000"
"000990","DB하이텍","KOSPI","전기전자","59700","-500","-0.83","2650595703600"
"000995","DB하이텍1우","KOSPI","전기전자","113000","500","0.44","12691708000"
"139130","DGB금융지주","KOSPI","기타금융","9240","-10","-0.11","1562907496920"
"001530","DI동일","KOSPI","유통업","330000","-23000","-6.52","828516150000"
"000210","DL","KOSPI","기타금융","72400","-200","-0.28","1517206001600"
"001880","DL건설","KOSPI","건설업","32200","-100","-0.31","710115744800"
"000215","DL우","KOSPI","기타금융","43500","-50","-0.11","73346002500"
"375500","DL이앤씨","KOSPI","건설업","138000","-1000","-0.72","2671505844000"
"37550K","DL이앤씨우","KOSPI","건설업","78400","-600","-0.76","165728584000"
"004840","DRB동일","KOSPI","화학","6490","-10","-0.15","129345700000"
"155660","DSR","KOSPI","철강금속","6970","-10","-0.14","111520000000"
"069730","DSR제강","KOSPI","철강금속","6970","110","1.60","100368000000"
"017940","E1","KOSPI","유통업","55300","-400","-0.72","379358000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","6600","-220","-3.23","945509400000"
"383220","F&F","KOSPI","섬유의복","732000","15000","2.09","5608155780000"
"007700","F&F홀딩스","KOSPI","섬유의복","45400","-850","-1.84","1775792261800"
"114090","GKL","KOSPI","서비스업","16150","500","3.19","998969070500"
"078930","GS","KOSPI","기타금융","42200","0","0.00","3921028951600"
"006360","GS건설","KOSPI","건설업","44750","100","0.22","3829771677500"
"001250","GS글로벌","KOSPI","유통업","2805","-10","-0.36","231507208020"
"007070","GS리테일","KOSPI","유통업","34450","150","0.44","3607532412900"
"078935","GS우","KOSPI","기타금융","36050","150","0.42","64342977300"
"012630","HDC","KOSPI","기타금융","11750","0","0.00","701965221750"
"039570","HDC아이콘트롤스","KOSPI","건설업","12550","-50","-0.40","206573000000"
