Date,Open,High,Low,Close,Volume
2018-08-01,254793,266310,254332,258480,1008827
2018-08-02,262163,262625,252490,259402,699552
2018-08-03,261242,262625,256637,258480,370378
2018-08-06,258479,260783,251108,252491,382303
2018-08-07,250186,256175,241893,252952,1103726
2018-08-08,254794,259400,253872,254334,513526
2018-08-09,246039,254333,242815,254334,1080868
2018-08-10,253870,258939,249264,250648,528266
2018-08-13,249724,250185,238668,240051,988487
2018-08-14,239589,246038,239589,240512,558360
2018-08-16,238205,241891,231755,238207,769754
2018-08-17,238667,247420,238667,242354,634245
2018-08-20,245117,247881,240511,240512,426199
2018-08-21,243736,249724,241893,247423,630592
2018-08-22,249264,253871,246961,247423,474002
2018-08-23,248343,252490,246961,252491,395818
2018-08-24,252951,258941,250186,257560,591776
2018-08-27,258477,261703,255715,256177,440141
2018-08-28,257556,258016,247880,247883,745381
2018-08-29,247881,252488,247881,248344,410083
2018-08-30,248801,248801,243734,245579,551567
2018-08-31,245577,251106,244196,248805,671899
2018-09-03,247421,250184,244196,246040,484299
2018-09-04,246960,259400,246960,258020,994506
2018-09-05,258940,261704,252029,252952,633526
2018-09-06,253412,257098,249725,255717,447961
2018-09-07,256176,258941,254333,257560,406385
2018-09-10,257097,258940,251108,252491,429018
2018-09-11,251569,255255,250186,252952,372818
2018-09-12,254794,264931,252951,262628,1043369
2018-09-13,265390,270920,262626,270460,1055425
2018-09-14,269538,273224,265852,268157,719514
2018-09-17,275067,281057,273684,278754,1213131
2018-09-18,277370,279673,274144,276911,921764
2018-09-19,276448,283821,274144,281979,864191
2018-09-20,280595,287046,272763,273225,1116872
2018-09-21,276449,280596,273224,278754,594778
2018-09-27,278292,284742,277371,277372,540299
2018-09-28,278290,280594,269998,273685,598765
2018-10-01,273685,275989,266313,269079,649784
2018-10-02,269078,272302,265391,265853,510415
2018-10-04,267234,269997,261704,267696,524493
2018-10-05,267693,272761,264930,266313,555108
2018-10-08,264932,269079,264010,267236,325520
2018-10-10,269076,270458,264008,264010,716351
2018-10-11,260782,262625,250185,250187,1789042
2018-10-12,250186,255715,247422,252952,907869
2018-10-15,254795,255256,239590,240973,948682
2018-10-16,241431,246037,238667,241433,670246
2018-10-17,247420,247880,240971,244658,615868
2018-10-18,244656,246960,240050,240051,470174
2018-10-19,237746,252951,234981,251570,787000
2018-10-22,249264,250647,245118,247423,374365
2018-10-23,229454,233599,225767,227150,7124769
2018-10-24,228530,231754,206414,207798,2674768
2018-10-25,197199,219774,194895,217934,3582663
2018-10-26,221617,222078,207796,210102,1527902
2018-10-29,210561,215629,200886,200887,1450889
2018-10-30,198121,210560,196278,207798,2102396
2018-10-31,209641,211023,199044,200427,1265947
2018-11-01,202268,221157,200885,209641,1902740
2018-11-02,215629,219774,211943,217934,983083
2018-11-05,220238,223922,217013,221160,842189
2018-11-06,223000,225764,217471,222081,684966
2018-11-07,222078,223461,215168,215170,729326
2018-11-08,219774,222077,218392,219777,793552
2018-11-09,218393,219775,207336,211484,1162617
2018-11-12,199042,200885,184299,186143,3313401
2018-11-13,182457,190289,181535,184761,2668923
2018-11-14,184759,198580,183837,191671,2057807
2018-11-15,196279,201347,193513,201348,1313803
2018-11-16,202729,211482,201347,206416,1304802
2018-11-19,209179,213325,204572,211023,1047966
2018-11-20,209178,213324,207796,209641,945576
2018-11-21,204571,207796,200885,207337,842959
2018-11-22,208256,209177,204571,205494,368335
2018-11-23,205491,209177,202728,203651,414857
2018-11-26,205030,222077,204109,221620,1063237
2018-11-27,222538,223920,217471,219316,635640
2018-11-28,220235,222538,217471,217473,476078
2018-11-29,230373,231293,217472,218395,1387191
2018-11-30,220696,223000,218393,220699,679781
2018-12-03,224842,226224,221157,221620,504857
2018-12-04,222542,229454,222081,224386,836798
2018-12-05,220238,223463,218855,223003,547817
2018-12-06,222081,222541,216553,217014,536698
2018-12-07,218394,228070,218394,226228,773137
2018-12-10,223463,228069,221159,225307,566477
2018-12-11,220697,221158,202729,202730,2243098
2018-12-12,204572,211022,204572,208720,861164
2018-12-13,208259,208720,199044,200427,1610527
2018-12-14,199962,200424,190287,191671,1178385
2018-12-17,195816,199962,185219,197661,1467411
2018-12-18,193053,205492,192592,201348,871854
2018-12-19,202728,210560,200885,207798,982732
2018-12-20,205953,214247,205493,206416,1216007
2018-12-21,207796,210561,201807,202730,953149
2018-12-24,200425,201806,193975,193976,1606964
2018-12-26,187984,210100,187523,210102,3780004
2018-12-27,226515,229328,208226,209164,3049252
2018-12-28,210569,213382,204004,208695,1098718
2019-01-02,210570,211976,199783,201192,1045357
2019-01-03,200721,204004,195563,197440,951894
2019-01-04,197438,207287,195093,206350,1132255
2019-01-07,212916,212916,201661,202599,1071752
2019-01-08,203066,205412,199315,200254,646883
2019-01-09,202128,204004,196970,200723,845610
2019-01-10,202127,207754,201190,203067,895183
2019-01-11,203534,204941,200721,203067,468357
2019-01-14,202597,202597,196970,197909,710387
2019-01-15,198845,200721,192749,194626,998718
2019-01-16,195562,196499,188059,189467,1353859
2019-01-17,188527,191809,183368,183370,1561345
2019-01-18,184777,189936,182431,188530,1260873
2019-01-21,188995,188995,182900,185715,876899
2019-01-22,186653,190875,186184,187592,583074
2019-01-23,187592,188530,186184,187592,428851
2019-01-24,188059,195094,187591,195095,969990
2019-01-25,195563,197438,192749,195564,631397
2019-01-28,197439,201190,196500,197909,836659
2019-01-29,198377,200253,193687,197440,497370
2019-01-30,199316,202129,198378,201661,608861
2019-01-31,204004,207286,202597,205412,843225
2019-02-01,207287,207755,200722,201192,641157
2019-02-07,202128,203065,196970,200723,434569
2019-02-08,200254,205412,199316,201661,383272
2019-02-11,204003,204941,201659,202129,304690
2019-02-12,202129,202599,197909,199316,455550
2019-02-13,200253,201191,197908,198847,410110
2019-02-14,198846,199783,193688,196971,672355
2019-02-15,196031,199313,195562,196501,501246
2019-02-18,198377,200253,197439,198847,304258
2019-02-19,199784,203537,198378,201661,431134
2019-02-20,202599,203066,200253,200254,308976
2019-02-21,199782,200252,194625,194626,683299
2019-02-22,194625,196499,193218,194157,331716
2019-02-25,189466,195093,187591,191343,909423
2019-02-26,192748,195093,190404,191812,607595
2019-02-27,191341,191810,189466,189936,378242
2019-02-28,190404,195093,190404,191812,696781
2019-03-04,194156,196500,192749,194626,443684
2019-03-05,194626,198846,193688,196971,610182
2019-03-06,198845,199314,195563,197909,437069
2019-03-07,196499,197907,192280,194157,395874
2019-03-08,193218,196031,192749,193219,325850
2019-03-11,192749,193687,189935,192281,298618
2019-03-12,193218,196500,192749,196033,403058
2019-03-13,196031,196969,194156,194626,277484
2019-03-14,196500,196500,189466,193219,699931
2019-03-15,192280,192280,188529,190405,530216
2019-03-18,189936,191812,188530,188530,366081
2019-03-19,188997,192280,188997,190405,279595
2019-03-20,190874,191342,187592,188530,357326
2019-03-21,188058,189933,188058,188060,305223
2019-03-22,188058,188996,186652,187122,271695
2019-03-25,186182,188057,184775,185715,268674
2019-03-26,186184,186653,180087,180557,942571
2019-03-27,181024,181962,170707,171646,1552642
2019-03-28,169300,173989,167424,169301,990545
2019-03-29,169300,172582,167893,169770,781489
2019-04-01,169300,172582,168831,170708,425884
2019-04-02,172114,178680,172114,178212,668630
2019-04-03,178679,182899,176334,181494,503210
2019-04-04,181964,182902,180087,180557,270188
2019-04-05,180555,181961,177741,180087,249346
2019-04-08,181962,183368,180085,183370,368475
2019-04-09,187121,193217,186183,191812,1026289
2019-04-10,192749,196969,190404,192750,708106
2019-04-11,193687,197439,192749,197440,650857
2019-04-12,196032,197907,192749,196033,309948
2019-04-15,196501,196971,189936,190875,495476
2019-04-16,189935,196031,188529,195095,388944
2019-04-17,195563,197907,194156,195564,315945
2019-04-18,195564,196033,189467,190875,420305
2019-04-19,191810,206347,191341,204474,1295363
