Date,Open,High,Low,Close,Volume
2018-08-01,22579,22779,22378,22580,276459
2018-08-02,22578,23080,22278,22279,311779
2018-08-03,22379,22681,22379,22681,169521
2018-08-06,22781,22982,22580,22781,189971
2018-08-07,22881,24086,22681,24086,742353
2018-08-08,24487,24989,23684,23885,1216684
2018-08-09,24285,25288,23984,25189,1622449
2018-08-10,25188,25990,24887,25691,1269641
2018-08-13,25388,25589,24586,24888,636617
2018-08-14,25089,25792,24688,25591,518080
2018-08-16,24989,25691,24888,25591,478674
2018-08-17,25792,25892,25390,25491,327327
2018-08-20,25491,25691,24888,24989,328660
2018-08-21,25087,25388,24887,24888,353528
2018-08-22,25189,25189,24587,24989,333939
2018-08-23,25088,25288,24787,25189,292057
2018-08-24,25087,25087,24687,24888,283256
2018-08-27,24887,25690,24887,25691,588666
2018-08-28,25489,25589,24787,25189,480764
2018-08-29,25088,25589,24887,25390,750163
2018-08-30,25389,25689,25188,25390,313774
2018-08-31,24887,25187,24687,25089,431909
2018-09-03,25089,25189,24285,24387,460200
2018-09-04,24387,24688,24186,24487,268355
2018-09-05,24485,24786,24285,24286,215419
2018-09-06,24387,24486,23884,24086,299195
2018-09-07,24086,24186,23784,24086,206174
2018-09-10,23885,24186,23784,23885,216152
2018-09-11,23782,23782,23282,23383,424870
2018-09-12,23383,24186,23383,24086,344739
2018-09-13,24285,24485,23984,24286,407528
2018-09-14,24186,24286,23784,24086,287642
2018-09-17,24186,24387,23684,24387,359811
2018-09-18,24487,24587,24086,24186,384132
2018-09-19,24284,24284,23382,23483,664304
2018-09-20,23684,23984,23483,23584,308838
2018-09-21,24385,24786,23783,23784,667099
2018-09-27,23885,24286,23885,24186,275536
2018-09-28,24085,24186,23885,23885,229927
2018-10-01,24084,24786,23984,23985,368677
2018-10-02,24184,24284,22981,23182,615909
2018-10-04,22982,23182,22279,22480,603136
2018-10-05,22179,22379,21777,21878,479642
2018-10-08,21577,22179,21577,21577,187871
2018-10-10,21374,21775,20873,20874,516278
2018-10-11,20069,20471,19769,19770,957608
2018-10-12,19770,20473,19589,20272,537122
2018-10-15,20272,20473,19911,19931,219792
2018-10-16,19931,20272,19931,20172,183949
2018-10-17,20673,20673,20071,20172,302780
2018-10-18,20071,20372,20011,20172,173176
2018-10-19,20071,20473,19891,20272,268396
2018-10-22,20372,20874,20172,20573,208316
2018-10-23,20573,20774,20071,20172,194001
2018-10-24,20272,20372,19850,19911,312593
