Date,Open,High,Low,Close,Volume
2020-09-10,48000,62400,48000,62400,561750
2020-09-11,81100,81100,81100,81100,5013124
2020-09-14,86500,89100,73400,73800,20213705
2020-09-15,69900,71200,67100,67500,8309414
2020-09-16,66200,69500,65400,66300,5054826
2020-09-17,67000,67800,64600,64600,2373993
2020-09-18,65400,65700,62800,63400,1914512
2020-09-21,63400,63400,59000,59500,2796724
2020-09-22,59400,59400,55700,55800,2177965
2020-09-23,56500,58500,55700,55800,2348911
2020-09-24,54100,54700,51200,51200,1817508
2020-09-25,51800,52700,50000,50200,1460915
2020-09-28,51000,52300,50300,51200,1175400
2020-09-29,51900,59000,51600,56200,5973601
2020-10-05,55400,55700,53500,54200,1084588
2020-10-06,54500,56300,54100,54300,1108491
2020-10-07,54200,55000,53600,54500,486108
2020-10-08,53100,54000,53000,53000,1074274
2020-10-12,45350,49800,45300,49100,6330061
2020-10-13,49650,50700,48550,49150,1845095
2020-10-14,49300,49550,48000,48250,1094816
2020-10-15,48000,48150,45750,46300,1556423
2020-10-16,46100,46900,45500,45850,899954
2020-10-19,45850,46350,45000,45050,678392
2020-10-20,44500,45400,44000,44750,807867
2020-10-21,45000,47300,44950,46650,1359297
2020-10-22,47000,47300,46300,46500,657267
2020-10-23,46400,46750,45450,45500,512008
2020-10-26,45200,45350,44050,44100,575048
2020-10-27,43700,44600,42950,44050,422999
2020-10-28,43950,44950,43950,44650,404797
2020-10-29,44000,44850,43850,44600,359512
2020-10-30,44950,46600,44550,45150,720458
2020-11-02,45500,46350,45500,46250,468995
2020-11-03,46800,47300,46450,46950,645299
2020-11-04,47550,47700,46450,47000,711933
2020-11-05,47650,49700,47300,48950,1694857
2020-11-06,49700,50700,49000,49150,1131914
2020-11-09,50100,50400,49500,50000,769608
2020-11-10,49200,49400,48550,48900,691857
2020-11-11,48850,48850,47650,48350,562943
2020-11-12,48450,49150,48450,48650,325217
2020-11-13,48050,48400,47700,48150,351364
2020-11-16,48200,48750,48150,48600,354499
2020-11-17,49100,49100,48000,48000,420394
2020-11-18,48050,48500,48050,48250,274818
