Date,Open,High,Low,Close,Volume
2020-07-28,101795,101795,98853,99834,1049861
2020-07-29,99539,100029,94832,95519,2700475
2020-07-30,94636,98264,91203,93754,4147178
2020-07-31,93753,95420,92674,92675,1224097
2020-08-03,91596,95616,89340,95617,2542456
2020-08-04,96401,96989,95028,95617,1294465
2020-08-05,95911,101795,95911,101207,2619777
2020-08-06,102481,102873,99441,100422,1570731
2020-08-07,100912,105129,99637,104639,2699421
2020-08-10,106012,107090,103462,105424,2475386
2020-08-11,105914,107581,104639,106306,1627579
2020-08-12,105129,105914,101599,101893,2269462
2020-08-13,102873,112288,102873,106110,7885722
2020-08-14,105423,106404,101108,102187,3196964
2020-08-18,102187,104835,97480,98265,2761663
2020-08-19,100422,100912,97774,97970,1615645
2020-08-20,97283,101991,97185,97872,2632026
2020-08-21,99833,99931,95322,97970,1648227
2020-08-24,98755,102285,97872,102285,1617353
2020-08-25,102579,102579,100029,101501,1150141
2020-08-26,103168,105129,101599,101697,1934011
2020-08-27,101697,101697,99147,99736,1183772
2020-08-28,100422,102481,99931,100030,1460605
2020-08-31,100226,101108,97872,98167,1326437
2020-09-01,98166,99245,97578,98069,911900
2020-09-02,98264,100226,98166,98461,893702
2020-09-03,99147,99147,97872,98559,801815
2020-09-04,95518,97578,95518,96892,1084584
2020-09-07,97087,100912,96107,100128,1690931
2020-09-08,99343,102383,97872,101109,2237519
2020-09-09,99833,102775,96695,96696,2326418
2020-09-10,97578,100520,96793,100128,2683903
2020-09-11,98755,100912,97087,98069,2140853
2020-09-14,98068,98362,96891,97284,834474
2020-09-15,97676,98755,97185,97774,695660
2020-09-16,98166,100422,97676,97774,1121046
2020-09-17,98362,98460,96107,96205,1174181
2020-09-18,98460,98558,96303,96499,940332
2020-09-21,96303,96793,91596,92381,1485733
2020-09-22,91497,94145,88653,88948,1683435
2020-09-23,89438,91105,85908,88360,1691806
2020-09-24,86790,88065,83456,83554,1750816
2020-09-25,83848,87575,83848,86006,1931132
2020-09-28,92576,93165,86006,86006,2696146
2020-09-29,86692,87281,84731,86006,1129484
2020-10-05,86104,88065,84142,86595,1106855
2020-10-06,86986,89536,86496,88360,1081909
2020-10-07,88261,89242,87379,88556,662793
2020-10-08,89144,91301,88555,88948,944933
2020-10-12,89732,90811,88653,90517,790649
2020-10-13,91301,91399,89340,89733,535463
2020-10-14,89340,89340,86790,86987,746460
2020-10-15,87084,88752,85711,86202,784027
2020-10-16,86006,87673,85319,86104,610346
2020-10-19,86790,89438,86790,87967,949117
2020-10-20,87281,87281,82965,85025,1492161
2020-10-21,85025,86300,83848,85908,667317
2020-10-22,85319,85711,82573,83064,761755
2020-10-23,83064,84240,81102,81691,1110009
2020-10-26,82279,84731,80318,81005,1040520
