Date,Open,High,Low,Close,Volume
2021-08-06,53700,69800,51000,69800,59402373
2021-08-09,69800,89100,69000,78500,44833696
2021-08-10,81800,85600,68000,71400,26495122
2021-08-11,71200,77500,68100,74400,21592734
2021-08-12,73600,75400,72700,73800,5878196
2021-08-13,73500,78600,73500,76600,10907993
2021-08-17,78100,88300,77500,87400,24272931
2021-08-18,89600,94400,83800,84500,21008684
2021-08-19,87300,92300,86400,92000,13606690
2021-08-20,92800,94000,88600,91000,15815275
2021-08-23,91900,92800,87900,89800,4868621
2021-08-24,90000,90000,84700,85400,6553145
2021-08-25,84500,84600,81500,82100,6086152
2021-08-26,83400,85300,82100,83400,4200556
